modality,band,band_name,unit,shape,valid_%,min,mean,max,p50
BuildingHeight_3DGloBFP,1,band 1,,512x512,100.0,0.0,3.7963,158.6049,0.0
BuiltVolume_GHSL,1,"total built-volume density, m3/m2",,512x512,100.0,0.0,6.2681,53.0265,3.7035
BuiltVolume_GHSL,2,"non-residential built-volume density, m3/m2",,512x512,100.0,0.0,2.5179,52.3707,0.1574
DEM,1,band 1,,512x512,100.0,-6.8414,8.3271,38.1912,7.5173
Economic_Property,1,property_value_median_local_currency,SGD,512x512,100.0,1610000.0,1610000.0,1610000.0,1610000.0
Economic_Property,2,property_value_mean_local_currency,SGD,512x512,100.0,2049760.25,2049760.125,2049760.25,2049760.25
Economic_Property,3,property_value_sum_local_currency,SGD,512x512,100.0,321812352.0,321812448.0,321812352.0,321812352.0
Economic_Property,4,property_observation_count,SGD,512x512,100.0,157.0,157.0,157.0,157.0
Economic_Property_2017ppp_gdp,1,property_value_median_local_currency,SGD,512x512,100.0,1537094.5,1537094.75,1537094.5,1537094.5
Economic_Property_2017ppp_gdp,2,property_value_mean_local_currency,SGD,512x512,100.0,1956941.125,1956941.0,1956941.125,1956941.125
Economic_Property_2017ppp_gdp,3,property_value_sum_local_currency,SGD,512x512,100.0,307239744.0,307239840.0,307239744.0,307239744.0
Economic_Property_2017ppp_gdp,4,property_observation_count,SGD,512x512,100.0,157.0,157.0,157.0,157.0
Height,1,band 1,m,512x512,100.0,0.0,3.7963,158.6049,0.0
NDVI_Landsat,1,band 1,"unitless NDVI [-1,1]",512x512,100.0,-0.6538,0.1882,0.8269,0.2348
NDVI_MODIS,1,band 1,"unitless NDVI [-1,1]",512x512,100.0,0.0503,0.2168,0.3881,0.2134
NighttimeLights,1,band 1,nW/cm2/sr,4x4,100.0,85.2038,129.5116,156.1814,135.9095
OSM_Amenity,1,band 1,,512x512,28.1,1.0,4.972,12.0,6.0
OSM_Building,1,band 1,,512x512,28.1,1.0,2.8295,13.0,1.0
OSM_POI,1,band 1,,512x512,28.1,1.0,4.1061,10.0,5.0
OSM_Transportation,1,band 1,,512x512,100.0,43190.7656,43190.7539,43190.7656,43190.7656
Osm,1,band 1,,512x512,4.95,1.0,1.0,1.0,1.0
Planet,1,red visual display value,none,512x512,100.0,27.0,126.8254,255.0,115.0
Planet,2,green visual display value,none,512x512,100.0,22.0,121.5266,255.0,109.0
Planet,3,blue visual display value,none,512x512,100.0,24.0,117.4386,255.0,104.0
Planet,4,alpha/validity,none,512x512,100.0,255.0,255.0,255.0,255.0
Population_GHSL,1,band 1,"population count per native GHSL grid cell, resampled to the 2km tile display grid",512x512,100.0,0.0,3759.4033,18846.584,1141.1178
RemoteSensing,1,band 1,8-bit RGB derived from Landsat Collection 2 Level-2 surface reflectance with a fixed 0-0.35 display stretch,512x512,99.74,1.0,67.1941,255.0,68.0
RemoteSensing,2,band 2,8-bit RGB derived from Landsat Collection 2 Level-2 surface reflectance with a fixed 0-0.35 display stretch,512x512,100.0,3.0,65.9201,254.0,64.0
RemoteSensing,3,band 3,8-bit RGB derived from Landsat Collection 2 Level-2 surface reflectance with a fixed 0-0.35 display stretch,512x512,98.0,1.0,39.9558,246.0,37.0
Temperature_LandsatST,1,lst_mean_celsius,degree Celsius for LST bands,512x512,100.0,39.546,39.546,39.546,39.546
Temperature_LandsatST,2,lst_median_celsius,degree Celsius for LST bands,512x512,100.0,40.5004,40.5004,40.5004,40.5004
Temperature_LandsatST,3,lst_p90_celsius,degree Celsius for LST bands,512x512,100.0,42.9469,42.9469,42.9469,42.9469
Temperature_LandsatST,4,lst_p95_celsius,degree Celsius for LST bands,512x512,100.0,43.7762,43.7762,43.7762,43.7762
Temperature_LandsatST,5,lst_std_celsius,degree Celsius for LST bands,512x512,100.0,3.2558,3.2558,3.2558,3.2558
Temperature_LandsatST,6,valid_fraction,degree Celsius for LST bands,512x512,100.0,1.0,1.0,1.0,1.0
Temperature_LandsatST,7,valid_pixel_count,degree Celsius for LST bands,512x512,100.0,4489.0,4489.0,4489.0,4489.0
Temperature_MODISLST,1,lst_mean_celsius,degree Celsius for LST bands,512x512,100.0,30.4075,30.4075,30.4075,30.4075
Temperature_MODISLST,2,lst_median_celsius,degree Celsius for LST bands,512x512,100.0,30.56,30.56,30.56,30.56
Temperature_MODISLST,3,lst_p90_celsius,degree Celsius for LST bands,512x512,100.0,30.605,30.605,30.605,30.605
Temperature_MODISLST,4,lst_p95_celsius,degree Celsius for LST bands,512x512,100.0,30.6125,30.6125,30.6125,30.6125
Temperature_MODISLST,5,lst_std_celsius,degree Celsius for LST bands,512x512,100.0,0.2999,0.2999,0.2999,0.2999
Temperature_MODISLST,6,valid_fraction,degree Celsius for LST bands,512x512,100.0,1.0,1.0,1.0,1.0
Temperature_MODISLST,7,valid_pixel_count,degree Celsius for LST bands,512x512,100.0,4.0,4.0,4.0,4.0
Weather_CHELSA_daily,1,TMIN,,2x2,100.0,26.1395,26.1885,26.2381,26.1882
Weather_CHELSA_daily,2,TMAX,,2x2,100.0,26.4755,26.5192,26.6192,26.4911
Weather_CHELSA_daily,3,TMEAN,,2x2,100.0,27.4787,27.5071,27.5369,27.5063
Weather_CHELSA_daily,4,PRCP,,2x2,0.0,,,,
Weather_CHELSA_daily,5,SRAD,,2x2,100.0,202.1477,202.2742,202.3938,202.2776
Weather_CHELSA_daily,6,RH,,2x2,100.0,64.0308,64.2485,64.4606,64.2513
Weather_CHELSA_daily,7,WIND,,2x2,100.0,3.8513,3.8602,3.869,3.8602
Weather_CHELSA_daily,8,PRESSURE,,2x2,100.0,1008.192,1008.4337,1008.6768,1008.433
Weather_CHELSA_daily,9,CLOUD,,2x2,100.0,57.1943,57.2098,57.2271,57.2089
Weather_terraclimate,1,TMIN,,2x2,100.0,24.0783,24.105,24.1283,24.1067
Weather_terraclimate,2,TMAX,,2x2,100.0,30.9367,30.9865,31.0317,30.9887
Weather_terraclimate,3,TMEAN,,2x2,100.0,27.5075,27.5457,27.58,27.5477
Weather_terraclimate,4,PRCP,,2x2,100.0,3217.3003,3223.125,3230.2998,3222.4502
Weather_terraclimate,5,SRAD,,2x2,100.0,169.8417,170.0917,170.375,170.075
Weather_terraclimate,6,VP,,2x2,100.0,3.0339,3.036,3.038,3.036
Weather_terraclimate,7,RH_DERIVED,,2x2,100.0,82.2834,82.4745,82.6849,82.4649
Weather_terraclimate,8,WS,,2x2,100.0,2.085,2.0877,2.0925,2.0867
Weather_terraclimate,9,SWE,,2x2,100.0,0.0,0.0,0.0,0.0
Weather_terraclimate,10,SWE_MAX,,2x2,100.0,0.0,0.0,0.0,0.0
nightlight_MVNL,1,band 1,nW cm-2 sr-1,4x4,100.0,24.8434,103.8963,141.5725,118.2649
