modality,band,band_name,unit,shape,valid_%,min,mean,max,p50
BuildingHeight_3DGloBFP,1,band 1,,512x512,100.0,0.0,3.7963,158.6049,0.0
DEM,1,band 1,,512x512,100.0,-6.8414,8.3271,38.1912,7.5173
Economic_Property,1,property_value_median_local_currency,SGD,512x512,100.0,468944.0,468944.0,468944.0,468944.0
Economic_Property,2,property_value_mean_local_currency,SGD,512x512,100.0,455444.3125,455444.2812,455444.3125,455444.3125
Economic_Property,3,property_value_sum_local_currency,SGD,512x512,100.0,5920776.0,5920774.0,5920776.0,5920776.0
Economic_Property,4,property_observation_count,SGD,512x512,100.0,13.0,13.0,13.0,13.0
Economic_Property_2017ppp_gdp,1,property_value_median_local_currency,SGD,512x512,100.0,531184.375,531184.25,531184.375,531184.375
Economic_Property_2017ppp_gdp,2,property_value_mean_local_currency,SGD,512x512,100.0,515892.9375,515892.9688,515892.9375,515892.9375
Economic_Property_2017ppp_gdp,3,property_value_sum_local_currency,SGD,512x512,100.0,6706608.0,6706608.0,6706608.0,6706608.0
Economic_Property_2017ppp_gdp,4,property_observation_count,SGD,512x512,100.0,13.0,13.0,13.0,13.0
Economy_GDP_PPP_1km,1,band 1,,2x2,100.0,45057476.0,312497344.0,640327040.0,282302400.0
Energy_Electricity,1,band 1,kWh/account/500m_cell/year,4x4,100.0,73039.2031,1270020.75,1578808.875,1438310.5
Height,1,band 1,m,512x512,100.0,0.0,3.7963,158.6049,0.0
NDVI_Landsat,1,band 1,"unitless NDVI [-1,1]",512x512,89.47,-1.0,0.2726,0.9977,0.2698
NDVI_MODIS,1,band 1,"unitless NDVI [-1,1]",512x512,100.0,0.0627,0.2351,0.4356,0.2276
NighttimeLights,1,band 1,nW/cm2/sr,4x4,100.0,68.8424,107.2484,139.3684,115.1014
OSM_Amenity,1,band 1,,512x512,32.49,1.0,5.0125,12.0,4.0
OSM_Building,1,band 1,,512x512,100.0,265.75,265.75,265.75,265.75
OSM_POI,1,band 1,,512x512,100.0,102.25,102.25,102.25,102.25
OSM_Transportation,1,band 1,,512x512,100.0,24151.6973,24151.6895,24151.6973,24151.6973
Odiac,1,band 1,tonne carbon per 1 km cell per year,2x2,100.0,6.7862,3261.6477,5840.5024,3599.6511
Osm,1,band 1,,512x512,4.92,1.0,1.0,1.0,1.0
Planet,1,red visual display value,none,512x512,100.0,15.0,150.1417,255.0,150.0
Planet,2,green visual display value,none,512x512,100.0,1.0,160.0973,255.0,160.0
Planet,3,blue visual display value,none,512x512,100.0,25.0,154.2236,255.0,153.0
Planet,4,alpha/validity,none,512x512,100.0,255.0,255.0,255.0,255.0
Population_GHSL,1,band 1,"population count per native GHSL grid cell, resampled to the 2km tile display grid",512x512,100.0,0.0,4411.894,20482.8711,1361.5253
RemoteSensing,1,band 1,8-bit RGB derived from Landsat Collection 2 Level-2 surface reflectance with a fixed 0-0.35 display stretch,512x512,99.82,1.0,70.3946,255.0,67.0
